"","x"
"97",-43.1672118258888
"98",66.0586615202308
"99",-48.33015405884
"100",8.65406468523572
"101",-8.35281957972224
"102",21.8419833019811
"103",-72.4915715193131
"104",67.5073322657397
"105",-51.2767037870515
"106",4.05024981855172
"107",-55.9681309837529
"108",6.76659021349202
"109",1.60446141273087
"110",16.9748657152717
"111",-45.2101901243063
"112",22.9668034814374
"113",-16.8910198621236
"114",31.0460950058466
"115",-17.2016149457489
"116",22.8444019296491
"117",2.62801578687009
"118",-36.1617029576617
"119",-66.1729718769852
"120",11.5570180652457
"121",8.08925653533213
"122",-26.2650498631928
"123",40.9831362795471
"124",-37.5955337797398
"125",30.123194427678
"126",-0.901476558627728
"127",0.395777824334237
"128",-21.3367237652135
"129",-7.76986430865798
"130",35.1232599162932
"131",-20.8519547159239
"132",-23.7067507936802
"133",61.5643935711527
"134",-26.2567780312136
"135",9.17365308798203
"136",2.47166357798935
"137",13.3206038140078
"138",-28.536939241083
"139",-20.4940415664142
"140",39.9139932296813
"141",-48.3349761157953
"142",-16.0925159457032
"143",34.1370261513076
"144",13.6561835682102
"145",15.3643430235385
"146",-20.3127278607894
"147",-7.23601937815846
"148",46.8197915662361
"149",12.6510369087857
"150",-0.981797206723247
"151",-37.0559700257361
"152",-41.206472215314
"153",25.1758571750787
"154",15.2251988072849
"155",-47.9149817974651
"156",-18.7513791043629
"157",-3.88501443050403
"158",69.51555345237
"159",-5.25082637893687
"160",-15.6539988749871
"161",14.7687028737025
"162",5.91402605402144
"163",62.3162455817374
"164",-42.2043257417037
"165",-15.2611803031181
"166",79.3427892961789
"167",23.5252805681891
"168",50.1342208826412
"169",1.8123339506473
"170",-28.0855611159469
"171",-12.9378800768778
"172",32.8179537283724
"173",4.89288596843615
"174",13.164086365591
"175",-1.9974808268553
"176",-70.1106580696254
"177",-0.192670318393444
"178",22.4612082638104
"179",32.4653211083773
"180",-82.3136504458981
"181",-11.7363127520949
"182",-3.81896487887491
"183",26.9989286091412
"184",54.2879848524349
"185",-12.1814757290254
"186",-3.9616998903893
"187",-18.3602392542796
"188",-12.0623859623859
"189",44.561970140821
"190",54.4494186695173
"191",-25.946455821827
"192",-15.5371065423765
"193",-12.6338632074298
"194",-10.2144632464348
"195",19.809490753892
"196",15.1648733383172
"197",69.1050476688933
"198",-4.70014791142636
"199",-37.8098545148377
"200",40.0996261152342
"201",23.6551715321615
"202",1.82106447298053
"203",11.2691701626846
"204",32.4931427507354
"205",-53.5392625798683
"206",-51.4876474945184
"207",18.3739063637661
"208",30.4202200607679
"209",52.8242887659611
"210",21.405607518849
"211",-30.0224481723305
"212",6.19567298782026
"213",-20.7188802943157
"214",1.72363639790601
"215",-13.1028265097344
"216",21.7559350467842
"217",-19.2561440363371
"218",60.5815360071687
"219",-2.07069459794791
"220",8.92114398536093
"221",-15.7571297357214
"222",0.693012905753702
"223",-2.87579820840531
"224",22.4927027499939
"225",-29.2467307703782
"226",17.7339763509342
"227",-18.5481197872056
"228",17.2985214191772
"229",-14.3511898513814
"230",0.599926203090728
"231",-37.3242811996002
"232",12.5062867373239
"233",-22.8252186561666
"234",22.5686847993532
"235",-47.3938819631348
"236",34.3616703208984
"237",-51.9336161490914
"238",32.6891365652189
"239",0.170092679308117
"240",8.06586997901579
"241",-4.30694411117272
"242",-31.6614624644797
"243",37.0071380759243
"244",-20.5739537267151
"245",9.9230345558435
"246",-33.8966283400082
"247",11.7521614175382
"248",1.80220496503473
"249",-29.5558673525105
"250",-24.629952284978
"251",18.6710371456689
"252",-23.9583575344591
"253",5.22136908139587
"254",15.4075903609543
"255",-5.69182581107564
"256",5.24676448645431
"257",-8.66835417152107
"258",-17.2945027828469
"259",2.04503898029937
"260",20.3549814799493
"261",-9.8502490255517
"262",18.7435601826041
"263",-34.1454155842668
"264",-6.51593105961909
"265",43.2384692311945
"266",-6.81303869546193
"267",-3.09556413865801
"268",13.4005891403855
"269",-31.5644865541272
"270",8.70374922044826
"271",1.77147300854329
"272",2.03343299806626
"273",-18.1153596207682
"274",60.7142935371695
"275",-0.384525140374923
"276",-9.27204138417817
"277",-3.14613406555729
"278",22.4481577922908
"279",-4.12422188127618
"280",5.63578881855511
"281",17.0623604136898
"282",-21.675183875685
"283",-27.287748515106
"284",34.0817791113021
"285",-35.7692774859271
"286",-41.346002873668
"287",20.8099334722306
"288",-1.68533380759119
"289",-8.26505598127052
"290",-44.8576011864996
"291",27.4464267237962
"292",11.9501641932215
"293",-49.8517965193766
"294",-26.0283026131802
"295",27.2951960925342
"296",-22.644891637148
"297",-58.6206620817101
"298",2.08337934865896
"299",47.5250432089329
"300",-33.8517792301198
