"","word","h","h_dec"
"455","nueva",0.862653683435336,7
"456","realidad",0.885340645227389,9
"457","consolidado",0.903835866974404,10
"458","transcurso",0.900611575474188,10
"459","último",0.886564980964479,9
"460","década",0.881694983805704,9
"461","marcado",0.906654913221568,10
"462","desintegración",0.868817622961086,8
"463","vertiginoso",0.898473936979954,10
"464","final",0.865913263891733,7
"465","aparecer",0.877421260504848,8
"466","novela",0.751336605592899,2
"467","cargado",0.908335427138278,10
"468","sentimentalismo",0.848335870364179,6
"469","melancólico",0.870162179567537,8
"470","abrir",0.86256041115923,7
"471","romántico",0.868088932258739,7
"472","psicológica",0.878882999983313,8
"473","poético",0.855956706621421,7
"474","alcanzar",0.899466311334885,10
"475","perfeccion",0.894097011429568,10
"476","técnica",0.89436528924989,10
"477","realismo",0.870129533203828,8
"478","naturalismo",0.69374266518621,1
"479","madurativa",0.881536452459968,9
"480","estética",0.880805469674652,9
"481","cambiar",0.854486226140754,6
"482","capítulo",0.847851413973327,6
"483","utilización",0.899758474862924,10
"484","pasado",0.883150831191508,9
"485","narrativo",0.855844834685655,7
"486","narrador",0.845307667644257,6
"487","exponente",0.90125109160885,10
"488","gótico",0.826373832268838,5
"489","realista",0.895298273808123,10
"490","contrario",0.902514487466687,10
"491","romance",0.857696301837817,7
"492","desmesurado",0.898613814111617,10
"493","fantasía",0.87912607782659,8
"494","tornado",0.886096534831774,9
"495","escándalo",0.889974657155725,9
"496","sufrir",0.859283554494123,7
"497","reforma",0.864678388394877,7
"498","convertir",0.87112842465286,8
"499","campo",0.871963333253785,8
"500","honorable",0.869192595866435,8
"501","desarrollo",0.878352472760424,8
"502","culminar",0.908735601522828,10
"503","ola",0.891463905495789,9
"504","tránsito",0.902905887384054,10
"505","acentuar",0.908480815193331,10
"506","sensibilidad",0.894871870375778,10
"507","mujer",0.843716044564865,6
"508","protagonista",0.871218637096201,8
"509","nacimiento",0.889013735376526,9
"510","misterio",0.883977405966217,9
"511","noción",0.878430291470081,8
"512","sublime",0.872144463922404,8
"513","crucial",0.905127383871091,10
"514","sobrenatura",0.858292653322133,7
"515","básico",0.902068317962795,10
"516","susceptibil",0.818577971554304,4
"517","heroína",0.87539512529157,8
"518","mostrar",0.890471638522152,9
"519","exagerado",0.897419958209594,10
"520","hipersensibilidad",0.797246851094885,3
"521","parodiar",0.857068960905961,7
"522","jane_austen",0.614064623467116,1
"523","abadía",0.864189252241124,7
"524","introducir",0.907775158202421,10
"525","estilo",0.884714580734487,9
"526","escritura",0.856504350508803,7
"527","costumbre",0.894350071093026,10
"528","cómico",0.873539044198785,8
"529","sino",0.867910311730464,7
"530","crítica",0.894949550273342,10
"531","cultura",0.870705566088065,8
"532","restrictivo",0.892386441372676,9
"533","rural",0.866673170744115,7
"534","orgía",0.895183281393428,10
"535","prejuicio",0.88286427447793,9
"536","común",0.897853348086985,10
"537","pensar",0.845435138659208,6
"538","pueblo",0.829024748548579,5
"539","indígena",0.852964247912396,6
"540","nativo",0.885073166384542,9
"541","alaska",0.881680103044908,9
"542","emigrar",0.874118959192883,8
"543","agricultura",0.864488662971717,7
"544","avanzada",0.901328756708312,10
"545","arquitectónico",0.831556960748124,5
"546","orden",0.892422923706957,9
"547","jerárquico",0.887649692503398,9
"548","asentar",0.898031561501829,10
"549","americano",0.89325365091237,10
"550","morir",0.854646085034563,6
"551","debido",0.909539985536576,10
"552","epidemia",0.86647261966776,7
"553","enfermedad",0.81091123896259,4
"554","traídas",0.830308992077768,5
"555","viruela",0.808529597576764,4
"556","transportó",0.826518689264395,5
"557","peregrino",0.871798260114787,8
"558","nuevo_mundo",0.809159715061927,4
"559","pintura",0.81863129031681,4
"560","explorador",0.865144621094298,7
"561","cristóbal_colón",0.820893782225295,4
"562","patrocinar",0.898728768374661,10
"563","caribe",0.881402179299616,9
"564","contacto",0.89940387080844,10
"565","abril",0.896490150909752,10
"566","conquistador",0.84845448289879,6
"567","español",0.865379438344706,7
"568","desembarcar",0.867115435938954,7
"569","llamar",0.859288639963212,7
"570","la_florida",0.807573541884456,4
"571","llegada",0.901519263630867,10
"572","documentado",0.891975122425266,9
"573","estadounidense",0.871016957507111,8
"574","asentamiento",0.866117655791149,7
"575","actual",0.892220840398807,9
"576","suroeste",0.849228764322031,6
"577","comerciante",0.887082559294959,9
"578","piel",0.872739368873463,8
"579","francés",0.839495136913876,6
"580","zona",0.847336012378431,6
"581","lagos",0.811923423324196,4
"582","reclamar",0.898644460965007,10
"583","interior",0.885030105150902,9
"584","golfo",0.860051240145776,7
"585","classmejico",0.866105832837361,7
"586","inglés",0.874389948367027,8
"587","exitoso",0.894477759761191,10
"588","colonia",0.890287425320259,9
"589","virginia",0.883034921130324,9
"590","establecimiento",0.884610006119263,9
"591","provincia",0.88024771732318,8
"592","bahía",0.82269186092985,5
"593","massachusetts",0.879377481023382,8
"594","inmigración",0.851356965304701,6
"595","nueva_inglaterra",0.852055218413882,6
"596","habitar",0.885374077381905,9
"597","guerra",0.825105807016512,5
"598","independencia",0.860456908740572,7
"599","convicto",0.830792639189506,5
"600","enviado",0.902247519115362,10
"601","viejo_continente",0.845541607169824,6
"602","neerlandés",0.870656470323745,8
"603","río",0.857900331656893,7
"604","hudson",0.844299483802392,6
"605","inferior",0.898224894387992,10
"606","manhattan",0.881141243993542,9
"607","bíblico",0.878597902651939,8
"608","filisteo",0.585766467983695,1
